Dummy,bedrooms,bathrooms,sqft_living,sqft_lot,floors,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15,Month,Day,Year,Age_since_renovated,wavefront,price
1,3,1.0,1020,7874,1.0,0,3,7,1020,0,1956,0,98106,47.5175,-122.346,1290,7320,5,21,2014,58,0,2.18
1,3,2.25,2210,8000,2.0,0,4,8,2210,0,1969,0,98023,47.3085,-122.381,1990,8000,6,9,2014,45,0,2.5025
1,4,2.5,2350,5835,2.0,0,3,8,2350,0,2003,0,98042,47.3494,-122.153,3010,5772,2,18,2015,12,0,2.7
1,3,1.5,1660,4800,2.0,0,3,8,1660,0,1907,0,98119,47.6352,-122.358,1690,4000,5,22,2014,107,0,9.263
1,3,2.5,2410,9916,2.0,0,4,10,2410,0,1989,0,98052,47.6911,-122.103,2310,8212,9,5,2014,25,0,7.0
1,4,2.5,2240,4025,1.0,2,3,7,1250,990,1926,2005,98115,47.6818,-122.311,1380,3500,7,28,2014,9,0,6.3
1,2,1.0,810,4838,1.0,0,3,5,810,0,1938,0,98055,47.4909,-122.203,890,4838,11,3,2014,76,0,2.3895
1,3,2.25,1530,7906,1.0,0,3,7,1150,380,1980,0,98058,47.4418,-122.136,1460,7875,2,9,2015,35,0,3.15
1,3,2.0,1720,128066,1.0,0,3,7,1720,0,1994,0,98027,47.4487,-121.981,2360,111078,8,27,2014,20,0,4.27
1,4,2.5,2490,7694,2.0,0,3,8,2490,0,1987,0,98029,47.567,-122.016,2140,8126,5,6,2015,28,0,7.0
1,4,4.0,3570,8250,2.0,0,3,10,2860,710,2015,0,98040,47.5784,-122.226,2230,10000,6,25,2014,-1,0,5.97326
1,4,2.25,1990,21312,1.0,0,4,8,1990,0,1968,0,98058,47.439,-122.144,2400,19210,10,13,2014,46,0,3.65
1,6,2.75,2850,15240,1.0,0,3,7,1850,1000,1962,0,98106,47.5288,-122.345,2090,7620,2,4,2015,53,0,3.6
1,3,2.25,1970,35100,2.0,0,4,9,1970,0,1977,0,98027,47.4635,-121.991,2340,35100,5,2,2014,37,0,4.375
1,3,1.0,860,7030,1.0,0,3,7,860,0,1973,0,98034,47.7151,-122.211,1360,7500,8,1,2014,41,0,3.5
